locationID,avg,max,count
222,0.023488886958969855,39.2,22286
51,0.03533264084592619,80.0,65143
81,0.03550444486550947,70.0,26913
254,0.038144768549007085,300.0,51812
35,0.04277447614720869,91.3,51381
117,0.04494918745396542,200.0,22254
77,0.048403232323690384,88.0,24057
86,0.04960472882853133,50.0,19511
5,0.05073704086273635,26.16,249
213,0.05079629132156037,250.0,78270
76,0.051055848826360425,250.0,104257
32,0.05207967984947304,86.86,27656
39,0.056020041046952254,265.74,74124
47,0.05682915527997447,88.0,26493
235,0.05906752816178523,200.0,51927
78,0.0594007109664916,80.0,33205
72,0.05952237601266064,200.0,42729
44,0.06161469693801029,35.8,483
55,0.06322354545495086,284.2,69304
3,0.06387291978528628,110.0,23296
191,0.06549583026600063,150.0,47232
122,0.06549896651762291,52.3,12306
60,0.06574426961576489,80.8,15168
139,0.06709688463493219,300.0,22922
167,0.06806715676500147,220.0,33491
108,0.07002178828059123,71.7,26840
94,0.07019330427137281,46.63,6229
248,0.07028486604955496,413.38,25479
136,0.07040273608232635,80.0,38740
250,0.07169769798764968,350.0,33931
183,0.07172654158435521,200.0,16230
91,0.07183939897781848,150.0,61249
205,0.07210668634988285,100.0,68944
259,0.07215878066692263,200.0,32787
242,0.0722994831042001,120.0,63197
147,0.07230323681147392,88.88,21365
156,0.07503235467790581,71.22,1452
71,0.07589211238191754,300.0,45056
18,0.07607098678510019,360.56,40264
155,0.07616566721467104,150.0,45769
174,0.07749306904565122,404.12,54449
38,0.07810623360426966,66.35,17919
218,0.0786742009434282,100.0,45663
182,0.07960492926152446,276.99,51360
203,0.08009295729648258,99.0,22712
212,0.08027000109523623,224.8,38555
169,0.08063403217261153,80.0,38045
19,0.08237920070786721,157.0,20396
29,0.08694724890035171,200.0,33911
101,0.08763514964316856,400.0,17781
46,0.08770832892068511,38.0,2132
126,0.08798154730558347,100.0,28802
154,0.08847958321583775,83.22,1910
23,0.08862834634103067,150.0,4068
63,0.08937668212552234,62.22,22887
21,0.09180202018877269,118.0,35644
185,0.09206607054446543,404.12,41399
119,0.0925395458684859,353.55,46936
26,0.09328721243753574,333.33,55443
123,0.09526355082124223,100.0,41744
240,0.09553595753391524,70.0,5331
159,0.09579747264729462,200.0,64693
197,0.09752680896729518,450.0,98881
208,0.09769311272618335,219.6,45814
177,0.09816410555383445,260.0,54291
241,0.09847288827920718,333.11,43164
11,0.09856489082619584,89.0,19918
215,0.09868127016353599,190.0,68019
150,0.10115707645396227,250.0,26525
69,0.1018251017711527,266.26,95019
22,0.10194116520465707,85.0,52336
149,0.10392080397584569,202.0,33413
180,0.10464197749944776,57.0,12337
184,0.10716556102900075,224.8,2290
9,0.10762408045694856,200.0,18060
131,0.10889546723207426,165.0,47768
85,0.10904903293211031,256.94,39824
210,0.1091726936511974,200.0,83375
58,0.11157332102885066,56.0,2740
124,0.11164268142924003,88.68,24509
165,0.11191707173660126,219.7,58819
20,0.11227557316908683,141.0,26814
56,0.11263131139914526,222.22,67856
175,0.11812225130726525,100.8,21434
258,0.11859096399298542,200.02,43079
173,0.11878912308806663,322.0,38175
15,0.12026072796343965,54.0,18420
206,0.12073442796260747,150.0,3783
178,0.12114320037518632,246.2,14552
168,0.12164742125897422,360.56,144900
216,0.12195318274709947,420.0,121997
221,0.12207827372566071,77.0,1679
121,0.12410056666491139,449.56,65220
118,0.12600487796728177,70.0,1998
219,0.12608404915462745,250.0,47874
247,0.1262777184685769,124.54,105769
217,0.1283688739578295,180.7,44350
98,0.1289919185307715,125.0,29674
192,0.1295834124226364,101.0,23031
16,0.13035155074823812,120.0,37989
251,0.13217430766678734,50.0,1468
153,0.1325983232711026,36.2,5201
130,0.13418732169567651,420.0,277886
171,0.1355827195010481,113.58,34938
73,0.13685124958155287,95.0,6962
201,0.1369540609913256,346.08,6966
67,0.13753468628401655,372.36,37930
53,0.13949590960271663,100.0,27519
92,0.13956894291418984,322.0,144698
96,0.1397782717220501,88.45,3018
135,0.14012440192584422,222.0,93509
64,0.14110581902094216,60.0,17940
102,0.1414121444275674,88.79,35474
6,0.1421912773077343,100.0,1713
109,0.1422076499097625,97.32,354
27,0.14258414482814133,30.18,1042
