locationID,count,0_tip_ratio
132,401614,0.05339217257620483
75,343524,0.11199994783481895
74,306528,0.1391304347826087
138,292921,0.03239934276854602
42,256594,0.22139620925623457
48,254554,0.04691016940469341
41,245125,0.13578888007480644
230,210204,0.0453531001770938
79,207945,0.038882280061614795
170,199166,0.03622736699039793
236,198115,0.025535189815465834
68,195978,0.04578969097601169
186,194148,0.04647753399131102
238,178948,0.034527862144787876
263,177525,0.03216907934006681
162,171563,0.030193951741208074
161,165244,0.03157822118628731
142,159972,0.029190484645033585
107,159409,0.03537909422203678
237,158929,0.02600899003868888
137,156570,0.05003478499295193
239,155938,0.026458920023096282
141,151762,0.027696737135221295
234,151285,0.03198554355338595
164,143557,0.041496111175827695
140,139521,0.03599119006369611
231,137664,0.03429154740159277
100,133756,0.05830376139378752
163,132188,0.03676526418462844
166,131666,0.06203006101904442
148,122252,0.05058949766795542
90,121884,0.03662672557361856
246,121270,0.038943556089061186
249,119173,0.029880381191554572
244,115840,0.09638610356014521
229,114456,0.02877489482441069
151,113180,0.04863200465437245
50,105662,0.04952368453738227
7,102699,0.08866654406908288
233,102338,0.03374324561368801
87,94291,0.03630813803492229
116,94033,0.11723687376648377
130,87079,0.3133623140424491
143,85863,0.03323434854669638
61,85113,0.18420454619235288
43,82729,0.03507551311224427
95,80787,0.15177509623676216
114,78951,0.03567710169133078
262,78413,0.024434904085530423
113,77797,0.030598996487272805
76,73246,0.7025523466050241
97,72083,0.11698025634617444
13,69665,0.025459962276935245
158,66942,0.03327712745544458
129,66512,0.1685721599448501
82,65691,0.21007809451931256
226,63554,0.1143948434662246
261,63119,0.0475976457191981
181,62292,0.06085491127035067
65,61997,0.08945659702181692
152,61871,0.13919924045734547
88,58910,0.04621388927023476
25,57701,0.08419459850670262
17,56227,0.15492818035781694
144,55456,0.0360400875786606
232,55391,0.07931650710098317
213,53990,0.6897917465184618
223,53290,0.08879535578127916
14,53092,0.22065399896929497
89,52293,0.20586741623460217
225,51399,0.22102343582025372
49,50567,0.10016401171059461
51,50203,0.7706583976789525
243,49120,0.0946860536618559
264,48958,0.038922031914825954
39,48902,0.6597323404025687
168,48858,0.337184265010352
33,48780,0.04976768956714965
255,46638,0.0444924410168447
4,46287,0.06889525278114329
24,46138,0.049971135923265964
197,45187,0.45698364701004235
216,43929,0.36008262498258153
55,43558,0.6285062911231675
145,43255,0.05406881758602198
188,40509,0.2054656948523258
205,40325,0.5848949872360176
92,39649,0.27401208033283114
260,39598,0.12127430202501562
69,39586,0.4166114145591934
179,39566,0.10121692593814834
211,39087,0.029849435497666235
10,38777,0.2595845522522945
242,38073,0.602449483361552
254,37861,0.730738052960704
35,37717,0.7340651213483583
125,36968,0.03122832715406442
134,36851,0.22495497970271341
91,35943,0.586834070760339
210,35881,0.4303568215892054
265,35858,0.16888976808153883
256,35796,0.05242837893256781
37,35764,0.12212353722541497
247,35072,0.3315905416520909
146,34791,0.09939064629202699
209,34085,0.04827090051393604
215,33060,0.4860406651082786
235,31782,0.6120515338841065
193,31462,0.24064923740610994
196,30747,0.22242557962889284
80,30519,0.0618188962980368
159,29773,0.4602198073980183
112,29396,0.03932543685268078
174,29326,0.538595750151518
45,29191,0.07336523526839346
191,28715,0.6079564701897019
127,28269,0.12464835310198863
182,28081,0.5467484423676012
220,27961,0.23493085079567796
228,27473,0.14294113362261834
72,27214,0.6368976573287463
56,26605,0.39208028766800285
155,26265,0.5738600362690904
177,25485,0.4694148201359341
71,25478,0.5654740767045454
218,25240,0.5527451109213148
70,25155,0.15055842181496068
66,24596,0.04203855186110665
135,23562,0.2519757456501513
28,23484,0.2514319975160865
224,22979,0.03136653762783308
119,22508,0.47954661666950743
62,22399,0.21311880952607493
