locationID,count,0_tip_ratio
230,107535,0.00799764685408041
186,102263,0.007262203887103809
161,101803,0.005613870196146595
48,91035,0.0070022457798652685
162,86764,0.00537614853645813
170,85525,0.005332077284415589
237,84788,0.004558799033784944
236,77509,0.004077272973554459
142,74976,0.005397571265708001
163,71888,0.0060745100922144565
234,68124,0.004490223757807913
68,63706,0.005662337297573841
239,62795,0.004878034001982752
164,60588,0.005664053954909688
141,57630,0.004799083452505437
100,56072,0.0072604098417968195
79,52272,0.004077497412561425
238,51932,0.004965015342386911
107,50624,0.0043424645407713364
263,47420,0.004869378060689579
229,46281,0.004951877521358523
90,44672,0.0052080242652520255
249,44478,0.004611124651830439
140,42576,0.0047098861257591365
246,42361,0.005010061873276575
231,41538,0.004833336688362652
138,39226,0.0038172841832125135
233,38049,0.0053746892521611975
43,36541,0.005669757898343123
113,35083,0.0046417394291042875
137,34150,0.0049361238115721824
75,32166,0.005963500396380148
50,31816,0.006406918247352635
143,29112,0.004599377649476614
262,28285,0.004387768604425868
151,27708,0.006348505163945769
114,26924,0.004408556831314573
132,25408,0.003228613485357384
158,24058,0.004545676987118189
148,23981,0.00404899450504457
264,23913,0.00786236310814703
74,23679,0.006478471169448998
166,22728,0.005691342338448564
41,22325,0.006811552637359955
13,22024,0.004634974697466042
144,19604,0.004091801285899274
211,18286,0.004467264207431939
7,17542,0.010044007663265225
87,17091,0.004109741224087782
125,13818,0.004823632658276101
261,13710,0.005658583133707655
265,12650,0.022264423914631334
42,12353,0.006447343217554644
24,12016,0.007237093719038628
145,10185,0.008649549306252642
181,9996,0.005684186463606934
33,9783,0.0060150551610624325
223,9762,0.011410590739444152
88,9477,0.004984510516544031
25,8555,0.007088578646765064
255,8329,0.005176085725773725
226,8244,0.009462690438940739
65,7999,0.0064394906048162144
97,7747,0.006120312691333837
129,7645,0.01159951993615333
244,7400,0.0047644525483060765
4,7050,0.00446951316541066
224,6836,0.004143296478440433
232,6785,0.004652227961227091
116,6777,0.005745499062339979
95,6472,0.008745827759084336
260,6310,0.01226848341324374
112,6134,0.005951791844473295
179,5980,0.010713236400639212
45,5535,0.00544859616206202
256,5486,0.004898691033323779
82,5393,0.009415235817351758
209,5136,0.004288630869625121
40,5087,0.007677192685915739
146,5038,0.00956454549424096
152,4865,0.006527791754721412
52,4657,0.007683411124365009
49,4614,0.005102712267411319
66,4337,0.004336111097225069
80,4290,0.005920777512638583
61,3696,0.004589081066315698
70,3474,0.01668988710064857
17,3349,0.005284418145956608
130,2843,0.007630637425283901
243,2660,0.004268326928168551
37,2577,0.005391484091251443
189,2401,0.0048278871307953245
193,2207,0.011317716559660315
225,2142,0.004976777362400935
1,2127,0.004083513318934485
134,1893,0.00832962980889814
106,1866,0.00682958608901886
83,1829,0.011554814295371125
195,1674,0.00900353364492516
36,1666,0.005065600437843015
196,1664,0.007650891301249247
14,1618,0.005848798791200052
168,1514,0.006907974284449758
92,1480,0.007464003832866833
10,1414,0.007524318341457185
228,1376,0.005305530707301274
89,1366,0.00364866019915381
247,1161,0.006293876887214377
188,1083,0.0030069217506226245
69,1035,0.006320379100613107
127,957,0.0036534805414939185
93,944,0.006919045699417305
210,800,0.006341003305247973
173,773,0.010573109013814799
216,773,0.004647555373848633
28,770,0.005830815481193727
198,700,0.004428613907112987
159,682,0.005512313797757895
257,660,0.0034474473219602395
56,655,0.0052408385341654665
157,642,0.005556901983865942
197,535,0.003570761139439891
202,532,0.004238908720040796
182,517,0.0062146892655367235
135,468,0.003914090726615817
54,463,0.003618883851805534
76,448,0.0022728195137789683
62,404,0.0019786172208264155
39,382,0.0028478134458542696
220,365,0.0025770830244363956
160,362,0.0038340553078365126
194,340,0.005953944488223448
242,327,0.003104499150297633
12,326,0.0016665303451660397
177,324,0.0027744714375016054
55,323,0.0036826743284535048
