locationID,avg,max,count
222,0.021603595433602407,54.56,43749
51,0.03220686765380367,105.09,84569
81,0.032673320983447086,70.0,43443
35,0.03415804579670269,105.05,127404
254,0.03624660270856473,442.18,74983
76,0.039352101186404836,250.0,197112
77,0.04093559449992971,100.0,55679
44,0.04129639414544212,57.61,1265
72,0.04264111176776265,250.0,107943
39,0.043546451429594873,378.1,134138
32,0.044632234272140144,88.0,45542
117,0.045715786274849776,200.0,28937
213,0.046479528066059116,250.0,107635
47,0.05077743631937157,91.03,54641
235,0.05091620479804579,200.0,86683
78,0.05132941074198813,104.57,60912
91,0.05227102508821286,300.0,119470
86,0.053484192432413535,105.24,28023
3,0.05450421964774415,110.0,35033
71,0.05453655620892034,300.0,108028
60,0.05618600749085405,400.0,31298
155,0.05808666964427578,150.0,77209
242,0.05811379925579366,190.0,105331
136,0.05915825392535549,90.24,65288
55,0.06052248113028139,284.2,87708
250,0.06122465633739696,400.0,50498
94,0.061809283751436926,150.0,27023
248,0.06247056420807308,413.38,38830
174,0.06307635767361816,404.12,81856
139,0.06318422911908543,300.0,29498
167,0.06403407946468993,220.0,66975
191,0.06420379933270937,150.0,60010
205,0.0645837719492903,100.0,91423
18,0.06473003749121654,360.56,67674
147,0.0647331765608937,107.21,38368
26,0.06514259737109394,333.33,108553
108,0.06535450960401028,158.0,42193
122,0.06551077701451619,125.7,24121
183,0.06597324012031,200.0,24338
169,0.06641465861023232,100.0,75602
59,0.06835516544174869,20.0,1141
259,0.06847883835117033,221.69,43196
123,0.06892786670669343,295.0,78561
38,0.07000206826667217,94.0,27063
182,0.07108523241409617,276.99,83190
218,0.07271947072201639,100.0,61488
21,0.07280955460803144,170.0,56717
156,0.0745340416370143,100.0,3363
154,0.07590188872143273,88.0,3930
63,0.07618961265200282,75.0,42471
185,0.07625512830399064,404.12,61945
212,0.07632773325228805,224.8,60495
177,0.07648643418607615,260.0,116779
149,0.0773250198374323,202.0,57881
126,0.07825181816009015,100.0,45424
29,0.0783939668670028,200.0,52110
11,0.07910948183521087,222.22,29382
203,0.07922802883496508,99.0,29361
5,0.0795861960522286,78.66,733
165,0.07964087055076577,219.7,102236
22,0.0806268738147266,170.0,79664
119,0.08328290370169651,353.55,75241
19,0.0838291672778384,306.0,24883
159,0.08435239792837769,480.0,123723
241,0.08596025909139453,333.11,61935
85,0.08614049735020604,300.0,82447
46,0.08781059561685563,65.0,4365
69,0.08982126708716,266.26,163756
208,0.0906281283981918,219.6,57450
240,0.09241625966445101,70.0,10298
178,0.0946226895167432,295.0,29685
101,0.09484920175168134,400.0,23105
197,0.09588508794002525,480.0,149828
115,0.09637904976788993,80.0,4971
20,0.0987390614535867,141.0,42837
215,0.09934632199885794,300.0,103786
131,0.09984578216538013,180.0,62835
150,0.10156116780731246,250.0,41052
9,0.10211951059593936,200.0,27276
184,0.1022336727359488,224.8,3941
180,0.10383270898109001,100.0,24062
210,0.10477600814622799,200.0,126163
23,0.10701445848696767,380.0,7245
124,0.1085583047864387,88.68,34494
258,0.11085757954437574,295.0,63391
58,0.11096854946041744,90.24,4493
168,0.11440944762922621,360.56,219167
175,0.11552486773463713,100.8,26666
30,0.11581909364107708,20.04,48
121,0.1161009211153023,449.56,92060
153,0.11667963508662024,41.2,17353
217,0.11803231860512835,180.7,91571
56,0.11843513686662704,300.0,124980
247,0.11871666413872328,124.54,184465
206,0.11934111977935909,150.0,5965
173,0.11969895259525765,450.0,73110
67,0.12025007068478419,383.0,52342
15,0.12061992590023524,60.0,25805
62,0.12079464134382195,280.0,204183
16,0.1211911210436377,212.8,48140
221,0.12204325805907659,183.7,4757
216,0.1227250224551408,420.0,166324
98,0.1238917862126001,125.0,36967
118,0.12523163217997663,150.0,3773
188,0.12557768703020317,300.0,360169
219,0.12706945110668932,300.0,62181
109,0.12738313353383324,97.32,872
130,0.12952783980329938,420.0,372577
89,0.12984259597773415,400.0,374384
171,0.130351987684447,113.58,46263
73,0.13070862646501172,95.0,20169
187,0.13124136160244662,83.0,706
227,0.13151015241471983,383.0,91523
201,0.13278250221159174,346.08,11658
220,0.13366995773079526,330.0,141633
135,0.13397948011754882,222.0,119568
192,0.1348114851141023,162.7,38174
102,0.13499965281318554,88.79,56380
64,0.13522432666359024,61.95,22934
96,0.13542565825956376,88.45,5791
84,0.1368118289314559,55.0,484
225,0.13703502162880302,300.8,430399
92,0.13779437644369735,322.0,198285
53,0.1387307506364203,100.0,37190
27,0.13963527863382913,30.18,1524
14,0.14108499727807197,222.4,276638
61,0.14134252247174284,449.97,805390
31,0.14196820456884365,100.0,21914
252,0.14202701182592406,142.11,39763
42,0.14222284393231183,449.6,1915983
10,0.1427252536835863,301.37,187924
120,0.1432645349427172,110.0,11926
196,0.14484087428796277,222.22,217491
28,0.14571898182209803,421.0,132057
2,0.1473171927627504,19.18,145
193,0.14808497184428715,448.34,195004
133,0.14854959349410687,225.0,115906
6,0.14865900338805424,183.7,3257
200,0.14868619644515416,150.0,100460
99,0.1504177213207503,27.75,22
82,0.15078266303044272,449.21,572795
134,0.1514756153498747,450.0,227261
17,0.15317608890892792,449.97,633750
172,0.1534080304615353,80.0,892
245,0.15592801914610324,150.0,1609
251,0.1568180681039139,250.0,2129
160,0.15874706194309274,130.0,94417
253,0.15918888798171132,67.0,3112
83,0.15982594679123488,240.01,158289
127,0.15988519416531125,120.0,261942
198,0.16098280697849282,245.55,158063
128,0.1614319507577548,33.1,14605
152,0.16222873621212258,200.0,745275
41,0.1627447222383565,332.0,3277520
37,0.16280853712768753,300.0,477976
116,0.1628690368214841,444.8,1179532
74,0.16341366783472733,336.3,3655029
57,0.16359098210756493,111.82,6993
129,0.16388787707411126,549.02,659079
228,0.16401298326580596,333.0,259352
244,0.16471242554352308,335.0,1553169
157,0.16488823496251276,549.02,115532
95,0.16492946862271277,400.0,740010
194,0.1679401777197899,353.44,57105
243,0.16805045775674504,333.5,623195
75,0.17008236270620725,780.0,5393812
97,0.17079525747277804,641.2,1265785
49,0.17220103477461987,422.68,904225
195,0.17313681876147982,315.56,185927
93,0.17333813300754825,400.0,136435
1,0.1735557475779927,415.0,520875
36,0.1736025769159041,303.0,328885
70,0.17492847229887593,200.0,208150
232,0.17509439976617733,421.17,1458441
4,0.17545974343156132,800.0,1577353
226,0.17564149585869654,999.99,871211
207,0.1763495810191046,60.0,4863
105,0.1764407596436353,45.0,173
65,0.17711464736093396,400.0,1242179
190,0.1772725757129323,200.0,92405
260,0.1779088199412236,270.0,514326
132,0.17810015622111994,500.0,7869632
45,0.17916152122863996,450.0,1015858
146,0.17931687851339712,400.0,526737
25,0.17949855844553592,641.2,1206871
257,0.179697329875344,350.0,191446
148,0.1800107275026039,441.11,5922705
87,0.18020776045076228,433.37,4158656
137,0.18025136223693805,448.44,6918384
209,0.1803904906138062,1100.0,1197585
166,0.18123598627551352,444.44,3993434
179,0.18125439397205836,270.0,558188
88,0.18127560781145677,350.0,1901290
143,0.18255756498161424,411.0,6329552
140,0.18256266624528328,696.48,9039709
106,0.18275816461977765,222.22,273223
144,0.1828524563015276,500.0,4791044
13,0.18295105406793213,440.0,4751698
12,0.18303690675888698,250.0,195616
256,0.18323011996495797,1624.64,1119891
79,0.18334571984534326,450.0,12819628
262,0.18352704594379426,400.0,6446329
263,0.1836388591360139,1600.22,9738410
231,0.18370167246725166,1100.0,8594063
233,0.18385995044089004,1001.0,7079293
50,0.1840020338059623,1393.56,4965882
7,0.18422273030946362,450.0,1746514
141,0.18431931237492608,366.0,12008543
107,0.18433241085279933,1001.0,11657896
224,0.18438483481854678,411.5,1649894
261,0.1844058904738488,400.0,2422868
246,0.18448575883423549,500.0,8455185
