locationID,count,0_tip_ratio,LocationID,Borough,Zone,service_zone
10,56053,0.2982748345075668,115,Staten Island,Grymes Hill/Clifton,Boro Zone
220,41905,0.2958703127096086,137,Manhattan,Kips Bay,Yellow Zone
192,11119,0.2912715460784827,207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone
96,1668,0.2880331548955275,234,Manhattan,Union Sq,Yellow Zone
61,228643,0.2838910341573648,39,Brooklyn,Canarsie,Boro Zone
28,36960,0.2798791430972989,147,Bronx,Longwood,Boro Zone
64,6412,0.2795848957879131,217,Brooklyn,South Williamsburg,Boro Zone
14,76483,0.2764732249365597,88,Manhattan,Financial District South,Yellow Zone
118,1022,0.2708719851576994,237,Manhattan,Upper East Side South,Yellow Zone
252,10584,0.2661770993134321,210,Brooklyn,Sheepshead Bay,Boro Zone
53,9890,0.265931702070449,213,Bronx,Soundview/Castle Hill,Boro Zone
217,24326,0.2656517893219469,177,Brooklyn,Ocean Hill,Boro Zone
196,56956,0.2618775029771347,113,Manhattan,Greenwich Village North,Yellow Zone
193,49509,0.2538870997517999,123,Brooklyn,Homecrest,Boro Zone
31,5513,0.2515743360408871,221,Staten Island,Stapleton,Boro Zone
42,478275,0.2496238223408036,11,Brooklyn,Bath Beach,Boro Zone
134,55720,0.2451806513216081,116,Manhattan,Hamilton Heights,Boro Zone
133,27864,0.2404017048297758,167,Bronx,Morrisania/Melrose,Boro Zone
27,365,0.239501312335958,246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone
82,133047,0.2322768180588168,58,Bronx,Country Club,Boro Zone
201,2616,0.2243952650540401,226,Queens,Sunnyside,Boro Zone
187,156,0.2209631728045325,248,Bronx,West Farms/Bronx River,Boro Zone
17,138270,0.2181775147928994,55,Brooklyn,Coney Island,Boro Zone
200,21757,0.2165737607007764,183,Bronx,Pelham Bay,Boro Zone
84,101,0.2086776859504132,252,Queens,Whitestone,Boro Zone
160,19011,0.2013514515394473,188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone
83,31308,0.1977901180751663,159,Bronx,Melrose South,Boro Zone
157,22567,0.1953311636602846,180,Queens,Ozone Park,Boro Zone
129,124552,0.1889788629284198,64,Queens,Douglaston,Boro Zone
198,29252,0.1850654485869558,162,Manhattan,Midtown East,Yellow Zone
120,2198,0.1843032030856951,228,Brooklyn,Sunset Park West,Boro Zone
265,103963,0.1829783639080488,74,Manhattan,East Harlem North,Boro Zone
95,134357,0.1815610599856758,57,Queens,Corona,Boro Zone
6,581,0.1783850168867055,242,Bronx,Van Nest/Morris Park,Boro Zone
37,84779,0.1773708303345774,81,Bronx,Eastchester,Boro Zone
70,36451,0.1751189046360797,148,Manhattan,Lower East Side,Yellow Zone
228,45213,0.1743306394398346,129,Queens,Jackson Heights,Boro Zone
152,123152,0.1652437019891986,66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone
127,41990,0.160302662421452,136,Bronx,Kingsbridge Heights,Boro Zone
41,506536,0.1545485611071786,8,Queens,Astoria Park,Boro Zone
74,561317,0.1535738840923013,5,Staten Island,Arden Heights,Boro Zone
195,28206,0.1517047013075024,166,Manhattan,Morningside Heights,Boro Zone
97,187347,0.1480085480551594,44,Staten Island,Charleston/Tottenville,Boro Zone
116,171274,0.1452050474255891,49,Brooklyn,Clinton Hill,Boro Zone
251,298,0.1399718177548144,247,Bronx,West Concourse,Boro Zone
260,70196,0.1364815311689473,95,Queens,Forest Hills,Boro Zone
49,123056,0.1360900218419088,67,Brooklyn,Dyker Heights,Boro Zone
253,421,0.1352827763496144,245,Staten Island,West Brighton,Boro Zone
226,110466,0.1267959197025749,71,Brooklyn,East Flatbush/Farragut,Boro Zone
243,76818,0.1232647887097938,87,Manhattan,Financial District North,Yellow Zone
36,40208,0.1222554996427322,141,Manhattan,Lenox Hill West,Yellow Zone
244,186033,0.1197764055295978,45,Manhattan,Chinatown,Yellow Zone
204,33,0.1182795698924731,256,Brooklyn,Williamsburg (South Side),Boro Zone
257,22465,0.1173437940724799,182,Bronx,Parkchester,Boro Zone
25,141605,0.1173323412361387,54,Brooklyn,Columbia Street,Boro Zone
93,15966,0.1170227580899329,198,Queens,Ridgewood,Boro Zone
179,65114,0.1166524540119099,103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone
190,10116,0.1094745955305448,211,Manhattan,SoHo,Yellow Zone
65,135168,0.1088152351633701,56,Queens,Corona,Boro Zone
75,580161,0.1075604785632128,3,Bronx,Allerton/Pelham Gardens,Boro Zone
57,739,0.1056771056771056,239,Manhattan,Upper West Side South,Yellow Zone
109,92,0.1055045871559633,253,Queens,Willets Point,Boro Zone
146,54540,0.103543134429516,118,Staten Island,Heartland Village/Todt Hill,Boro Zone
172,90,0.100896860986547,254,Bronx,Williamsbridge/Olinville,Boro Zone
106,27514,0.1007016246802062,168,Bronx,Mott Haven/Port Morris,Boro Zone
7,174349,0.0998268550953499,47,Bronx,Claremont/Bathgate,Boro Zone
194,5535,0.0969267139479905,220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone
223,80158,0.0936949531338213,85,Brooklyn,Erasmus,Boro Zone
207,451,0.0927411063129755,244,Manhattan,Washington Heights South,Boro Zone
189,42594,0.0856472405035801,133,Brooklyn,Kensington,Boro Zone
181,147389,0.0838121807407525,53,Queens,College Point,Boro Zone
80,56966,0.078620748667825,112,Brooklyn,Greenpoint,Boro Zone
232,110222,0.0755752203894432,72,Brooklyn,East Flatbush/Remsen Village,Boro Zone
245,116,0.0720944686140459,251,Staten Island,Westerleigh,Boro Zone
33,114013,0.0701006321249321,70,Queens,East Elmhurst,Boro Zone
4,107876,0.0683905251392681,73,Queens,East Flushing,Boro Zone
45,69411,0.0683274630903138,97,Brooklyn,Fort Greene,Boro Zone
166,268957,0.0673498047044223,34,Brooklyn,Brooklyn Navy Yard,Boro Zone
1,34683,0.0665860331173506,152,Manhattan,Manhattanville,Boro Zone
214,141,0.0660112359550561,250,Bronx,Westchester Village/Unionport,Boro Zone
128,942,0.0644984594317014,238,Manhattan,Upper West Side North,Yellow Zone
34,3899,0.062329150347694,224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone
202,7772,0.0619263131055583,216,Queens,South Ozone Park,Boro Zone
145,69870,0.0593366725604194,96,Queens,Forest Park/Highland Park,Boro Zone
256,65822,0.0587753629594308,101,Queens,Glen Oaks,Boro Zone
24,93611,0.0563807906235789,78,Bronx,East Tremont,Boro Zone
132,433915,0.0551379022551499,16,Queens,Bayside,Boro Zone
209,65115,0.0543719234960357,102,Queens,Glendale,Boro Zone
